Book,Lesson,Word,Plural,Definition
Elementary,1,relative,relatives,"* a person who is in the same family as somebody else
* a thing that belongs to the same group as something else"
Elementary,1,relation,relations,"* relations [plural] the way in which two people, groups or countries behave towards each other or deal with each other
* [uncountable, countable] the way in which two or more things are connected
* [countable] a person who is in the same family as somebody else"
Elementary,1,child,children,a young human who is not yet an adult
Elementary,1,husband,,
Elementary,1,father,,
Elementary,1,wife,pl. wives,
Elementary,1,mother,,
Elementary,1,parents,[usually plural],
Elementary,1,daughter,,
Elementary,1,son,,
Elementary,1,sister,,
Elementary,1,brother,,
Elementary,1,grandfather,,
Elementary,1,grandmother,,
Elementary,1,grandparents,[usually plural],
Elementary,1,granddaughter,,
Elementary,1,grandson,,
Elementary,1,uncle,,the brother of your mother or father; the husband of your aunt or uncle
Elementary,1,aunt,,the sister of your father or mother; the wife of your uncle or aunt
Elementary,1,niece,,
Elementary,1,nephew,,
Elementary,1,cousin,,
Elementary,1,Have you got any brothers and sisters?,,
Elementary,1,"No, I am an only child.",,
Elementary,1,Do you come from a big family?,,
Elementary,2,to have a baby,,
Elementary,2,to be born,"used only in the passive, without by",
Elementary,2,to weigh,,
Elementary,2,to call,,"* [transitive, often passive] to give somebody/something a particular name; to use a particular name or title when you are talking to somebody
* [intransitive, transitive] to phone somebody
* [transitive] to ask somebody/something to come quickly to a particular place by phoning
* [transitive] to describe somebody/something in a particular way; to consider somebody/something to be something
* [transitive] call yourself + noun to claim that you are a particular type of person, especially when other people question whether this is true
* [intransitive, transitive] to shout or say something loudly to attract somebody’s attention
* [transitive, intransitive] to ask somebody to come by shouting or speaking loudly
* [transitive, often passive] (formal) to order somebody to come to a place
* … https://www.oxfordlearnersdictionaries.com/definition/english/call_1#carpet_idmg_2"
Elementary,2,single,,
Elementary,2,married,,
Elementary,2,widowed,,
Elementary,2,separated,,
Elementary,2,divorced,,
Elementary,2,bride,,
Elementary,2,bridegroom,,
Elementary,2,wedding,,
Elementary,2,to get married (to somebody),,
Elementary,2,honeymoon,,
Elementary,2,to become ill,,
Elementary,2,to die (of something),,
Elementary,2,to be dead,,
Elementary,2,funeral,,
